word,rank,cefr,pos,ipa,meaning_vi,example_en,is_concrete_noun,orig_rank,sfi,freq_per_million
feature,516,A2,n,/fˈitʃɚ/,đặc điểm; tính năng,This phone has many features.,FALSE,635,61.77,150
factor,517,A2,n,/fˈæktɚ/,"yếu tố, nhân tố",Price is an important factor.,FALSE,636,61.77,150
pretty,518,A2,adv,/pɹˈɪti/,khá; (adj) xinh,The test was pretty hard.,FALSE,637,61.76,150
recently,519,A2,adv,/ɹˈisəntli/,gần đây,I recently moved to a new city.,FALSE,638,61.76,150
affect,520,A2,v,/əfˈɛkt/,"ảnh hưởng, tác động",The weather affects my mood.,FALSE,639,61.76,150
drop,521,A2,v,/dɹˈɑp/,rơi; làm rơi; giảm,Don't drop the plate.,FALSE,640,61.75,150
recent,522,A2,adj,/ɹˈisənt/,"gần đây, mới đây","In recent years, prices rose.",FALSE,641,61.74,149
relate,523,A2,v,/ɹɪlˈeɪt/,liên quan; kể lại,This topic relates to health.,FALSE,642,61.74,149
official,524,A2,adj,/əfˈɪʃəl/,chính thức,This is the official website.,FALSE,643,61.73,149
financial,525,A2,adj,/fənˈænʃəl/,thuộc tài chính,She gives financial advice.,FALSE,644,61.73,149
miss,526,A2,v,/mˈɪs/,nhớ; lỡ; bỏ lỡ,I miss my family.,FALSE,645,61.72,149
art,527,A2,n,/ˈɑɹt/,nghệ thuật,She studies modern art.,FALSE,646,61.72,149
campaign,528,A2,n,/kæmpˈeɪn/,chiến dịch,They ran an advertising campaign.,FALSE,647,61.71,148
private,529,A2,adj,/pɹˈaɪvət/,riêng tư; tư nhân,This is a private conversation.,FALSE,648,61.71,148
pause,530,A2,v,/pˈɔz/,tạm dừng,He paused before answering.,FALSE,649,61.7,148
forget,531,A2,v,/fɚɡˈɛt/,quên,Don't forget your keys.,FALSE,651,61.68,147
page,532,A2,n,/pˈeɪdʒ/,trang (sách/giấy),Turn to page ten.,TRUE,652,61.68,147
worry,533,A2,v,/wˈɝi/,lo lắng,Don't worry about the test.,FALSE,653,61.68,147
summer,534,A2,n,/sˈʌmɚ/,mùa hè,We travel every summer.,FALSE,654,61.67,147
drink,535,A2,v,/dɹˈɪŋk/,uống,Drink plenty of water.,FALSE,655,61.66,147
opinion,536,A2,n,/əpˈɪnjən/,"ý kiến, quan điểm","In my opinion, he is right.",FALSE,656,61.66,147
park,537,A2,n,/pˈɑɹk/,công viên,We walked in the park.,TRUE,657,61.65,146
represent,538,A2,v,/ɹˌɛpɹɪzˈɛnt/,đại diện; tượng trưng,She represents our school.,FALSE,658,61.64,146
key,539,A2,n,/kˈi/,chìa khóa; then chốt,I lost my house key.,TRUE,659,61.64,146
inside,540,A2,adv,/ˌɪnsˈaɪd/,bên trong,Let's wait inside.,FALSE,660,61.62,145
manager,541,A2,n,/mˈænədʒɚ/,người quản lý,The manager is very busy.,FALSE,661,61.6,145
international,542,A2,adj,/ˌɪntɚnˈæʃənəl/,quốc tế,This is an international airport.,FALSE,662,61.59,144
contain,543,A2,v,/kəntˈeɪn/,"chứa, chứa đựng",This box contains books.,FALSE,663,61.58,144
notice,544,A2,v,/nˈoʊtəs/,"nhận thấy, để ý",I noticed a new sign.,FALSE,664,61.56,143
wonder,545,A2,v,/wˈʌndɚ/,tự hỏi; ngạc nhiên,I wonder where she is.,FALSE,665,61.56,143
nature,546,A2,n,/nˈeɪtʃɚ/,thiên nhiên; bản chất,I love spending time in nature.,FALSE,666,61.55,143
structure,547,A2,n,/stɹˈʌktʃɚ/,cấu trúc; công trình,The bridge has a strong structure.,FALSE,667,61.55,143
section,548,A2,n,/sˈɛkʃən/,phần; khu vực,Read the first section only.,FALSE,668,61.54,142
exactly,549,A2,adv,/ɪɡzˈæktli/,chính xác,That's exactly what I meant.,FALSE,670,61.52,142
plant,550,A2,n,/plˈænt/,cây; nhà máy,I water my plants every day.,TRUE,671,61.52,142
paint,551,A2,v,/pˈeɪnt/,sơn; vẽ (bằng màu),They painted the wall blue.,FALSE,672,61.51,142
worker,552,A2,n,/wˈɝkɚ/,"công nhân, người lao động",The workers built the road.,FALSE,673,61.5,141
press,553,A2,v,/pɹˈɛs/,"ấn, nhấn; ép",Press the red button.,FALSE,674,61.5,141
whatever,554,A2,pron,/wˌʌtˈɛvɚ/,bất cứ điều gì,Do whatever you like.,FALSE,675,61.5,141
necessary,555,A2,adj,/nˈɛsəsˌɛɹi/,cần thiết,Sleep is necessary for health.,FALSE,676,61.5,141
region,556,A2,n,/ɹˈidʒən/,"vùng, khu vực",This region is famous for tea.,FALSE,677,61.48,141
growth,557,A2,n,/ɡɹˈoʊθ/,"sự tăng trưởng, phát triển",Economic growth is slow.,FALSE,678,61.46,140
evening,558,A2,n,/ˈivnɪŋ/,buổi tối,I read every evening.,FALSE,679,61.46,140
influence,559,A2,n,/ˈɪnfluəns/,ảnh hưởng,Parents have a big influence on children.,FALSE,680,61.46,140
respect,560,A2,n,/ɹɪspˈɛkt/,sự tôn trọng,Show respect to your teachers.,FALSE,681,61.46,140
various,561,A2,adj,/vˈɛɹiəs/,"khác nhau, đa dạng",The shop sells various goods.,FALSE,682,61.46,140
catch,562,A2,v,/kˈætʃ/,bắt; kịp; mắc (bệnh),Catch the ball!,FALSE,683,61.45,140
skill,563,A2,n,/skˈɪl/,kỹ năng,Cooking is a useful skill.,FALSE,685,61.43,139
attempt,564,A2,n,/ətˈɛmpt/,"sự cố gắng, nỗ lực",This is my first attempt.,FALSE,686,61.42,139
son,565,A2,n,/sˈʌn/,con trai,Their son is very tall.,FALSE,687,61.42,139
simple,566,A2,adj,/sˈɪmpəl/,đơn giản,This is a simple task.,FALSE,688,61.41,138
medium,567,A2,adj,/mˈidiəm/,"trung bình, vừa",I ordered a medium coffee.,FALSE,689,61.41,138
average,568,A2,adj,/ˈævɚɪdʒ/,trung bình,The average age is thirty.,FALSE,690,61.41,138
stock,569,A2,n,/stˈɑk/,cổ phiếu; hàng dự trữ,The item is out of stock.,FALSE,691,61.4,138
management,570,A2,n,/mˈænədʒmənt/,sự quản lý; ban quản lý,Good management saves money.,FALSE,692,61.39,138
character,571,A2,n,/kˈɛɹɪktɚ/,tính cách; nhân vật; ký tự,He is my favorite character.,FALSE,693,61.38,138
bed,572,A2,n,/bˈɛd/,cái giường,I make my bed every morning.,TRUE,694,61.38,137
hit,573,A2,v,/hˈɪt/,"đánh; đụng, va",The car hit a tree.,FALSE,695,61.38,137
establish,574,A2,v,/ɪstˈæblɪʃ/,thành lập; thiết lập,They established a new school.,FALSE,696,61.37,137
indeed,575,A2,adv,/ˌɪndˈid/,"thật vậy, quả thực",It is indeed a difficult problem.,FALSE,697,61.36,137
final,576,A2,adj,/fˈaɪnəl/,cuối cùng,This is my final decision.,FALSE,698,61.36,137
economy,577,A2,n,/ɪkˈɑnəmi/,nền kinh tế,The economy is growing slowly.,FALSE,699,61.35,137
fit,578,A2,v,/fˈɪt/,vừa vặn; phù hợp,These shoes fit me well.,FALSE,700,61.35,137
guy,579,A2,n,/ɡˈaɪ/,"anh chàng, gã",He is a nice guy.,FALSE,701,61.33,136
function,580,A2,n,/fˈʌŋkʃən/,"chức năng, công dụng",What is the function of this button?,FALSE,702,61.32,135
yesterday,581,A2,adv,/jˈɛstɚdˌeɪ/,hôm qua,I saw her yesterday.,FALSE,703,61.32,135
image,582,A2,n,/ˈɪmədʒ/,hình ảnh,The image is very clear.,TRUE,704,61.31,135
size,583,A2,n,/sˈaɪz/,"kích cỡ, cỡ",What size do you wear?,FALSE,705,61.3,135
behavior,584,A2,n,/bɪhˈeɪvjɚ/,"hành vi, cách cư xử",His behavior was strange.,FALSE,706,61.3,135
addition,585,A2,n,/ədˈɪʃən/,sự thêm vào; phép cộng,"In addition, we need more time.",FALSE,707,61.3,135
determine,586,A2,v,/dətˈɝmən/,xác định; quyết tâm,Scientists determined the cause.,FALSE,708,61.29,134
station,587,A2,n,/stˈeɪʃən/,nhà ga; trạm,I'll meet you at the station.,TRUE,709,61.28,134
population,588,A2,n,/pˌɑpjəlˈeɪʃən/,dân số,The city has a large population.,FALSE,710,61.28,134
fail,589,A2,v,/fˈeɪl/,thất bại; trượt,He failed the exam.,FALSE,711,61.27,134
environment,590,A2,n,/ɪnvˈaɪɹənmənt/,môi trường,We must protect the environment.,FALSE,712,61.27,134
production,591,A2,n,/pɹədˈʌkʃən/,sự sản xuất,Car production increased this year.,FALSE,713,61.25,133
contract,592,A2,n,/kˈɑntɹˌækt/,hợp đồng,She signed a new contract.,TRUE,714,61.24,133
player,593,A2,n,/plˈeɪɚ/,"người chơi, cầu thủ",He is a famous football player.,FALSE,715,61.22,132
comment,594,A2,n,/kˈɑmɛnt/,"lời bình luận, nhận xét",She made a helpful comment.,FALSE,716,61.22,132
enter,595,A2,v,/ˈɛntɚ/,đi vào; nhập,Please enter the room quietly.,FALSE,717,61.21,132
occur,596,A2,v,/əkˈɝ/,xảy ra,The accident occurred at night.,FALSE,718,61.2,132
alone,597,A2,adj,/əlˈoʊn/,"một mình, cô đơn",She lives alone.,FALSE,719,61.2,132
significant,598,A2,adj,/səɡnˈɪfɪkənt/,quan trọng; đáng kể,There was a significant change.,FALSE,720,61.18,131
drug,599,A2,n,/dɹˈʌɡ/,thuốc; ma túy,The doctor gave me a new drug.,FALSE,721,61.18,131
wall,600,A2,n,/wˈɔl/,bức tường,Hang the picture on the wall.,TRUE,722,61.17,131
series,601,A2,n,/sˈɪɹiz/,"loạt, chuỗi; bộ phim",I watched a new TV series.,FALSE,723,61.17,131
direct,602,A2,adj,/dɚˈɛkt/,trực tiếp; thẳng,Is there a direct flight?,FALSE,724,61.16,131
success,603,A2,n,/səksˈɛs/,sự thành công,Hard work leads to success.,FALSE,725,61.15,130
tomorrow,604,A2,adv,/təmˈɑɹˌoʊ/,ngày mai,See you tomorrow.,FALSE,726,61.14,130
director,605,A2,n,/dɚˈɛktɚ/,giám đốc; đạo diễn,She is the school director.,FALSE,727,61.13,130
clearly,606,A2,adv,/klˈɪɹli/,rõ ràng,She clearly explained the rules.,FALSE,728,61.13,130
lack,607,A2,n,/lˈæk/,sự thiếu hụt,There is a lack of water.,FALSE,729,61.12,129
review,608,A2,n,/ɹˌivjˈu/,bài đánh giá; sự xem lại,I read a review of the film.,FALSE,730,61.12,129
depend,609,A2,v,/dɪpˈɛnd/,phụ thuộc; tùy thuộc,It depends on the weather.,FALSE,731,61.1,129
race,610,A2,n,/ɹˈeɪs/,cuộc đua; chủng tộc,He won the running race.,FALSE,732,61.1,129
recognize,611,A2,v,/ɹˈɛkəɡnˌaɪz/,nhận ra; công nhận,I didn't recognize you.,FALSE,733,61.1,129
window,612,A2,n,/wˈɪndoʊ/,cửa sổ,Open the window for fresh air.,TRUE,734,61.1,129
purpose,613,A2,n,/pˈɝpəs/,mục đích,What is the purpose of this trip?,FALSE,735,61.09,128
department,614,A2,n,/dɪpˈɑɹtmənt/,"phòng, ban; khoa",She works in the sales department.,FALSE,736,61.09,128
gain,615,A2,v,/ɡˈeɪn/,đạt được; tăng,He gained a lot of experience.,FALSE,737,61.08,128
tree,616,A2,n,/tɹˈi/,cái cây,The tree is very tall.,TRUE,738,61.08,128
college,617,A2,n,/kˈɑlɪdʒ/,"trường cao đẳng, đại học",My sister is in college.,TRUE,739,61.07,128
argue,618,A2,v,/ˈɑɹɡju/,tranh luận; cãi nhau,They often argue about money.,FALSE,740,61.07,128
board,619,A2,n,/bˈɔɹd/,bảng; ban (lãnh đạ); ván,Write it on the board.,TRUE,741,61.06,128
holiday,620,A2,n,/hˈɑlədˌeɪ/,kỳ nghỉ; ngày lễ,We are going on holiday soon.,FALSE,742,61.05,127
mark,621,A2,n,/mˈɑɹk/,dấu; điểm số,She got a high mark.,FALSE,743,61.05,127
church,622,A2,n,/tʃˈɝtʃ/,nhà thờ,They go to church on Sundays.,TRUE,744,61.02,127
machine,623,A2,n,/məʃˈin/,cái máy,This machine makes coffee.,TRUE,745,61.02,126
achieve,624,A2,v,/ətʃˈiv/,đạt được,She achieved her goal.,FALSE,746,61.02,126
item,625,A2,n,/ˈaɪtəm/,"món, mục, thứ",Add this item to the list.,FALSE,747,61.02,126
prove,626,A2,v,/pɹˈuv/,chứng minh,Can you prove it?,FALSE,748,61.02,126
cent,627,A2,n,/sˈɛnt/,xu (tiền),This costs fifty cents.,FALSE,749,61.02,126
season,628,A2,n,/sˈizən/,mùa,Autumn is my favorite season.,FALSE,750,61.01,126
floor,629,A2,n,/flˈɔɹ/,sàn nhà; tầng,Don't sit on the floor.,TRUE,751,61.01,126
stuff,630,A2,n,/stˈʌf/,"đồ đạc, thứ",Put your stuff over there.,FALSE,752,61.01,126
wide,631,A2,adj,/wˈaɪd/,rộng,The river is very wide.,FALSE,753,61.01,126
method,632,A2,n,/mˈɛθəd/,phương pháp,This is a new teaching method.,FALSE,755,61.01,126
analysis,633,A2,n,/ənˈæləsəs/,sự phân tích,The data needs careful analysis.,FALSE,756,61,126
election,634,A2,n,/ɪlˈɛkʃən/,cuộc bầu cử,The election is next month.,FALSE,757,60.99,126
military,635,A2,adj,/mˈɪlətˌɛɹi/,thuộc quân sự,He joined the military school.,FALSE,758,60.99,126
hotel,636,A2,n,/hoʊtˈɛl/,khách sạn,We stayed at a nice hotel.,TRUE,759,60.99,126
club,637,A2,n,/klˈʌb/,câu lạc bộ,I joined the chess club.,FALSE,760,60.99,126
movie,638,A2,n,/mˈuvi/,phim,Let's watch a movie tonight.,FALSE,762,60.99,126
doctor,639,A2,n,/dˈɑktɚ/,bác sĩ,The doctor examined the patient.,TRUE,763,60.98,125
discussion,640,A2,n,/dɪskˈʌʃən/,cuộc thảo luận,We had a long discussion.,FALSE,764,60.98,125
sorry,641,A2,adj,/sˈɑɹi/,xin lỗi; tiếc,I'm sorry for being late.,FALSE,765,60.98,125
challenge,642,A2,n,/tʃˈæləndʒ/,thử thách,Learning English is a challenge.,FALSE,766,60.98,125
nation,643,A2,n,/nˈeɪʃən/,"quốc gia, dân tộc",The whole nation celebrated.,FALSE,767,60.96,125
nearly,644,A2,adv,/nˈɪɹli/,"gần, suýt",It is nearly midnight.,FALSE,768,60.96,125
statement,645,A2,n,/stˈeɪtmənt/,lời tuyên bố; bản kê,He made a public statement.,FALSE,769,60.95,125
link,646,A2,n,/lˈɪŋk/,liên kết; mối liên hệ,Click the link to continue.,FALSE,770,60.95,124
introduce,647,A2,v,/ˌɪntɹədˈus/,giới thiệu,Let me introduce my friend.,FALSE,772,60.94,124
advantage,648,A2,n,/ædvˈæntɪdʒ/,"lợi thế, ưu điểm",Speaking English is an advantage.,FALSE,773,60.94,124
ready,649,A2,adj,/ɹˈɛdi/,sẵn sàng,Are you ready to go?,FALSE,774,60.94,124
marry,650,A2,v,/mˈɛɹi/,"kết hôn, cưới",They will marry in spring.,FALSE,775,60.93,124
strike,651,A2,v,/stɹˈaɪk/,đánh; đình công,The clock struck twelve.,FALSE,776,60.93,124
mile,652,A2,n,/mˈaɪl/,dặm (đơn vị),The town is five miles away.,FALSE,777,60.92,124
seek,653,A2,v,/sˈik/,tìm kiếm,She is seeking a new job.,FALSE,778,60.92,123
ability,654,A2,n,/əbˈɪlətˌi/,khả năng,He has the ability to lead.,FALSE,779,60.9,123
unit,655,A2,n,/jˈunət/,đơn vị,A meter is a unit of length.,FALSE,780,60.9,123
card,656,A2,n,/kˈɑɹd/,tấm thẻ; thiệp,I paid with a credit card.,TRUE,781,60.89,123
hospital,657,A2,n,/hˈɑspˌɪtəl/,bệnh viện,She works at a hospital.,TRUE,782,60.88,123
quickly,658,A2,adv,/kwˈɪkli/,nhanh chóng,Please answer quickly.,FALSE,783,60.86,122
interview,659,A2,n,/ˈɪntɚvjˌu/,cuộc phỏng vấn,I have a job interview tomorrow.,FALSE,784,60.86,122
agreement,660,A2,n,/əɡɹˈimənt/,sự thỏa thuận; hiệp định,They signed an agreement.,FALSE,785,60.85,122
release,661,A2,v,/ɹilˈis/,phát hành; thả,The band released a new song.,FALSE,786,60.85,122
tax,662,A2,n,/tˈæks/,thuế,We pay tax every year.,FALSE,787,60.85,122
solution,663,A2,n,/səlˈuʃən/,giải pháp; dung dịch,There is no easy solution.,FALSE,788,60.85,122
capital,664,A2,n,/kˈæpətəl/,thủ đô; vốn,Hanoi is the capital of Vietnam.,FALSE,789,60.83,121
popular,665,A2,adj,/pˈɑpjəlɚ/,phổ biến; được ưa chuộng,This song is very popular.,FALSE,790,60.82,121
specific,666,A2,adj,/spəsˈɪfɪk/,cụ thể; riêng,Give me a specific example.,FALSE,791,60.82,121
beautiful,667,A2,adj,/bjˈutəfəl/,"đẹp, xinh đẹp",What a beautiful garden!,FALSE,792,60.82,121
fear,668,A2,n,/fˈɪɹ/,nỗi sợ hãi,She has a fear of heights.,FALSE,793,60.81,121
aim,669,A2,n,/ˈeɪm/,"mục tiêu, mục đích",My aim is to pass the exam.,FALSE,794,60.81,121
television,670,A2,n,/tˈɛləvˌɪʒən/,"tivi, truyền hình",Turn off the television.,TRUE,795,60.81,120
serious,671,A2,adj,/sˈɪɹiəs/,nghiêm trọng; nghiêm túc,This is a serious problem.,FALSE,796,60.81,120
target,672,A2,n,/tˈɑɹɡət/,mục tiêu; đích,We reached our sales target.,FALSE,797,60.8,120
degree,673,A2,n,/dɪɡɹˈi/,độ; bằng cấp,It is thirty degrees today.,FALSE,798,60.78,120
pull,674,A2,v,/pˈʊl/,kéo,Pull the door to open it.,FALSE,799,60.77,120
red,675,A2,adj,/ɹˈɛd/,màu đỏ,She has a red car.,FALSE,800,60.77,119
husband,676,A2,n,/hˈʌzbənd/,chồng,Her husband is a teacher.,FALSE,801,60.77,119
access,677,A2,n,/ˈæksˌɛs/,quyền truy cập; lối vào,I have access to the internet.,FALSE,802,60.77,119
movement,678,A2,n,/mˈuvmənt/,sự chuyển động; phong trào,I saw a movement in the dark.,FALSE,803,60.75,119
treat,679,A2,v,/tɹˈit/,đối xử; điều trị,The doctor treats sick people.,FALSE,804,60.74,119
identify,680,A2,v,/aɪdˈɛntəfˌaɪ/,nhận diện; xác định,Can you identify this plant?,FALSE,805,60.73,118
loss,681,A2,n,/lˈɔs/,sự mất mát; thua lỗ,The team suffered a big loss.,FALSE,806,60.72,118
modern,682,A2,adj,/mˈɑdɚn/,hiện đại,They live in a modern house.,FALSE,808,60.7,117
pressure,683,A2,n,/pɹˈɛʃɚ/,áp lực; áp suất,He is under a lot of pressure.,FALSE,809,60.7,117
bus,684,A2,n,/bˈʌs/,xe buýt,I take the bus to school.,TRUE,810,60.69,117
treatment,685,A2,n,/tɹˈitmənt/,sự điều trị; cách đối xử,The treatment was successful.,FALSE,811,60.69,117
conference,686,A2,n,/kˈɑnfɚəns/,hội nghị,She attended a business conference.,FALSE,812,60.68,117
supply,687,A2,n,/səplˈaɪ/,nguồn cung; sự cung cấp,Water supply is limited here.,FALSE,814,60.66,116
village,688,A2,n,/vˈɪlədʒ/,"làng, ngôi làng",She grew up in a small village.,TRUE,815,60.65,116
worth,689,A2,adj,/wˈɝθ/,đáng giá; trị giá,This book is worth reading.,FALSE,816,60.64,116
natural,690,A2,adj,/nˈætʃɚəl/,tự nhiên,This is a natural product.,FALSE,817,60.64,116
express,691,A2,v,/ɪkspɹˈɛs/,"bày tỏ, diễn đạt",She expressed her thanks.,FALSE,818,60.64,116
indicate,692,A2,v,/ˈɪndəkˌeɪt/,chỉ ra; cho thấy,The sign indicates danger.,FALSE,819,60.64,116
attend,693,A2,v,/ətˈɛnd/,tham dự,Many people attended the meeting.,FALSE,820,60.63,116
brother,694,A2,n,/bɹˈʌðɚ/,"anh, em trai",My brother plays the guitar.,FALSE,821,60.63,116
investment,695,A2,n,/ˌɪnvˈɛstmənt/,sự đầu tư; khoản đầu tư,Education is a good investment.,FALSE,822,60.63,116
score,696,A2,n,/skˈɔɹ/,điểm số; tỷ số,The final score was two to one.,FALSE,823,60.62,115
organize,697,A2,v,/ˈɔɹɡənˌaɪz/,tổ chức; sắp xếp,She organized the party.,FALSE,824,60.62,115
trip,698,A2,n,/tɹˈɪp/,chuyến đi,We had a great trip to Da Lat.,FALSE,825,60.62,115
sleep,699,A2,v,/slˈip/,ngủ,I sleep eight hours every night.,FALSE,827,60.61,115
fish,700,A2,n,/fˈɪʃ/,con cá,We caught three fish.,TRUE,828,60.6,115
promise,701,A2,v,/pɹˈɑməs/,hứa,I promise to come on time.,FALSE,829,60.6,115
potential,702,A2,n,/pətˈɛnʃəl/,tiềm năng,She has great potential.,FALSE,830,60.59,115
energy,703,A2,n,/ˈɛnɚdʒi/,năng lượng; sức lực,Children have a lot of energy.,FALSE,831,60.59,115
trouble,704,A2,n,/tɹˈʌbəl/,"rắc rối, khó khăn",He is in serious trouble.,FALSE,832,60.59,115
relation,705,A2,n,/ɹilˈeɪʃən/,"mối quan hệ, liên hệ",The two events have no relation.,FALSE,833,60.58,114
touch,706,A2,v,/tˈʌtʃ/,"chạm, sờ",Don't touch the hot pan.,FALSE,834,60.56,114
file,707,A2,n,/fˈaɪl/,tập tin; hồ sơ,Save the file on your computer.,TRUE,835,60.56,114
middle,708,A2,n,/mˈɪdəl/,"giữa, ở giữa",Stand in the middle of the room.,FALSE,836,60.56,114
bar,709,A2,n,/bˈɑɹ/,"quán bar; thanh, thỏi",We met at a small bar.,TRUE,837,60.55,114
suffer,710,A2,v,/sˈʌfɚ/,chịu đựng; đau khổ,Many people suffered in the flood.,FALSE,838,60.55,113
strategy,711,A2,n,/stɹˈætədʒi/,chiến lược,We need a new business strategy.,FALSE,839,60.55,113
deep,712,A2,adj,/dˈip/,sâu,The lake is very deep.,FALSE,840,60.54,113
clean,713,A2,adj,/klˈin/,sạch sẽ,Keep your room clean.,FALSE,842,60.54,113
tend,714,A2,v,/tˈɛnd/,có xu hướng,Prices tend to rise in summer.,FALSE,843,60.54,113
advance,715,A2,v,/ədvˈæns/,tiến lên; tiến bộ,The army advanced slowly.,FALSE,844,60.54,113
fill,716,A2,v,/fˈɪl/,làm đầy; điền,Fill the glass with water.,FALSE,845,60.53,113
star,717,A2,n,/stˈɑɹ/,ngôi sao,The stars are bright tonight.,TRUE,846,60.52,113
network,718,A2,n,/nˈɛtwˌɝk/,mạng lưới,The phone network is down.,FALSE,847,60.5,112
generally,719,A2,adv,/dʒˈɛnɚəli/,"nói chung, thường thì","Generally, I get up early.",FALSE,848,60.5,112
operation,720,A2,n,/ˌɑpɚˈeɪʃən/,cuộc phẫu thuật; hoạt động,The operation was a success.,FALSE,849,60.49,112
match,721,A2,n,/mˈætʃ/,trận đấu; que diêm,We watched the football match.,FALSE,850,60.47,111
avoid,722,A2,v,/əvˈɔɪd/,tránh,Try to avoid mistakes.,FALSE,851,60.47,111
seat,723,A2,n,/sˈit/,"chỗ ngồi, ghế",Please take your seat.,TRUE,852,60.45,111
throw,724,A2,v,/θɹˈoʊ/,"ném, quăng",Don't throw stones.,FALSE,853,60.45,111
task,725,A2,n,/tˈæsk/,"nhiệm vụ, công việc",This is a difficult task.,FALSE,854,60.44,111
normal,726,A2,adj,/nˈɔɹməl/,bình thường,His temperature is normal.,FALSE,855,60.43,110
goal,727,A2,n,/ɡˈoʊl/,mục tiêu; bàn thắng,My goal is to learn English well.,FALSE,856,60.42,110
associate,728,A2,v,/əsˈoʊsiət/,"liên kết, kết hợp",I associate summer with the beach.,FALSE,857,60.42,110
blue,729,A2,adj,/blˈu/,màu xanh dương,The sky is clear and blue.,FALSE,858,60.41,110
positive,730,A2,adj,/pˈɑzətɪv/,tích cực; dương,Stay positive during hard times.,FALSE,859,60.4,110
option,731,A2,n,/ˈɑpʃən/,sự lựa chọn,You have three options.,FALSE,860,60.4,110
box,732,A2,n,/bˈɑks/,cái hộp,Put the toys in the box.,TRUE,861,60.39,109
huge,733,A2,adj,/hjˈudʒ/,"khổng lồ, to lớn",They live in a huge house.,FALSE,862,60.39,109
message,734,A2,n,/mˈɛsədʒ/,tin nhắn; thông điệp,I sent you a message.,FALSE,863,60.39,109
instance,735,A2,n,/ˈɪnstəns/,"trường hợp, ví dụ","For instance, take this word.",FALSE,864,60.38,109
style,736,A2,n,/stˈaɪl/,phong cách; kiểu,I like her style of writing.,FALSE,865,60.38,109
refer,737,A2,v,/ɹəfˈɝ/,nhắc đến; tham khảo,Refer to page ten for details.,FALSE,866,60.37,109
cold,738,A2,adj,/kˈoʊld/,lạnh,It is very cold today.,FALSE,867,60.36,109
push,739,A2,v,/pˈʊʃ/,đẩy,Push the door gently.,FALSE,868,60.36,109
quarter,740,A2,n,/kwˈɔɹtɚ/,một phần tư; quý,A quarter of the pizza is left.,FALSE,869,60.36,109
assume,741,A2,v,/əsˈum/,"cho rằng, giả định",I assume you have finished.,FALSE,870,60.34,108
baby,742,A2,n,/bˈeɪbi/,em bé,The baby is sleeping.,TRUE,871,60.33,108
successful,743,A2,adj,/səksˈɛsfəl/,thành công,She is a successful writer.,FALSE,872,60.32,108
sing,744,A2,v,/sˈɪŋ/,hát,She sings beautifully.,FALSE,873,60.32,108
doubt,745,A2,n,/dˈaʊt/,sự nghi ngờ,I have no doubt about it.,FALSE,874,60.32,108
competition,746,A2,n,/kˌɑmpətˈɪʃən/,cuộc thi; sự cạnh tranh,He won the singing competition.,FALSE,875,60.32,108
theory,747,A2,n,/θˈɪɹi/,lý thuyết,This is only a theory.,FALSE,876,60.31,108
propose,748,A2,v,/pɹəpˈoʊz/,đề xuất; cầu hôn,They proposed a new plan.,FALSE,877,60.31,107
reference,749,A2,n,/ɹˈɛfɚəns/,tài liệu tham khảo; sự tham chiếu,Please add a reference.,FALSE,878,60.3,107
argument,750,A2,n,/ˈɑɹɡjəmənt/,cuộc tranh cãi; lập luận,They had a big argument.,FALSE,879,60.3,107
adult,751,A2,n,/ədˈʌlt/,người lớn,This film is for adults only.,FALSE,880,60.3,107
fly,752,A2,v,/flˈaɪ/,bay,Birds fly south in winter.,FALSE,881,60.3,107
document,753,A2,n,/dˈɑkjəmɛnt/,"tài liệu, văn bản",Please sign this document.,TRUE,882,60.29,107
pattern,754,A2,n,/pˈætɚn/,khuôn mẫu; hoa văn,I like the pattern on this shirt.,FALSE,883,60.29,107
application,755,A2,n,/ˌæpləkˈeɪʃən/,đơn xin; ứng dụng,I sent my job application.,FALSE,884,60.28,107
hot,756,A2,adj,/hˈɑt/,nóng,The soup is too hot.,FALSE,885,60.28,107
obviously,757,A2,adv,/ˈɑbviəsli/,"rõ ràng, hiển nhiên",She is obviously very tired.,FALSE,886,60.28,107
unclear,758,A2,adj,/ənklˈɪɹ/,không rõ ràng,The instructions are unclear.,FALSE,887,60.27,106
bill,759,A2,n,/bˈɪl/,hóa đơn; tờ tiền,"Can I have the bill, please?",TRUE,888,60.27,106
search,760,A2,v,/sˈɝtʃ/,tìm kiếm,I searched everywhere for my keys.,FALSE,889,60.26,106
separate,761,A2,adj,/sˈɛpɚˌeɪt/,"riêng biệt, tách rời",They sleep in separate rooms.,FALSE,890,60.26,106
central,762,A2,adj,/sˈɛntɹəl/,trung tâm; chính yếu,The hotel has a central location.,FALSE,891,60.26,106
career,763,A2,n,/kɚˈɪɹ/,sự nghiệp,She has a successful career.,FALSE,892,60.25,106
speech,764,A2,n,/spˈitʃ/,bài phát biểu; lời nói,He gave a short speech.,FALSE,894,60.24,106
dog,765,A2,n,/dˈɔɡ/,con chó,The dog is barking loudly.,TRUE,895,60.24,106
officer,766,A2,n,/ˈɔfəsɚ/,viên chức; sĩ quan,A police officer helped us.,FALSE,896,60.24,106
oil,767,A2,n,/ˈɔɪl/,dầu,Add some oil to the pan.,TRUE,898,60.22,105
dress,768,A2,n,/dɹˈɛs/,"váy, đầm",She bought a red dress.,TRUE,899,60.21,105
profit,769,A2,n,/pɹˈɑfət/,lợi nhuận,The company made a big profit.,FALSE,900,60.21,105
